# # E[GeV], E^2 dN/dE [erg/cm^2/s], <unc.>, reference
EGeV,fluxergpercgs,unc,ref
8.330e-02, 3.491e-10, 1.400e-11, 2012ApJ...749...26B
1.201e-01, 2.045e-10, 1.108e-11, 2012ApJ...749...26B
1.702e-01, 1.264e-10, 5.951e-12, 2012ApJ...749...26B
2.453e-01, 6.562e-11, 4.388e-12, 2012ApJ...749...26B
3.476e-01, 4.760e-11, 3.478e-12, 2012ApJ...749...26B
5.010e-01, 3.894e-11, 3.125e-12, 2012ApJ...749...26B
7.102e-01, 3.451e-11, 3.647e-12, 2012ApJ...749...26B
1.024e+00, 3.943e-11, 3.693e-12, 2012ApJ...749...26B
1.451e+00, 4.505e-11, 4.163e-12, 2012ApJ...749...26B
2.057e+00, 4.101e-11, 4.089e-12, 2012ApJ...749...26B
2.964e+00, 5.214e-11, 5.584e-12, 2012ApJ...749...26B
4.201e+00, 5.723e-11, 6.047e-12, 2012ApJ...749...26B
6.055e+00, 7.490e-11, 9.008e-12, 2012ApJ...749...26B
8.583e+00, 8.537e-11, 1.029e-11, 2012ApJ...749...26B
1.237e+01, 9.754e-11, 1.420e-11, 2012ApJ...749...26B
1.753e+01, 9.493e-11, 1.739e-11, 2012ApJ...749...26B
2.527e+01, 1.159e-10, 2.089e-11, 2012ApJ...749...26B
3.582e+01, 8.080e-11, 2.167e-11, 2012ApJ...749...26B
5.162e+01, 6.778e-11, 2.370e-11, 2012ApJ...749...26B
7.440e+01, 9.944e-11, 3.447e-11, 2012ApJ...749...26B
1.055e+02, 5.701e-11, 3.143e-11, 2012ApJ...749...26B
1.495e+02, 1.305e-10, 5.988e-11, 2012ApJ...749...26B
2.119e+02, 8.973e-11, 6.188e-11, 2012ApJ...749...26B
7.108e+00, 7.217e-11, 2.430e-12, 2019ApJ...875..123Y
1.407e+01, 9.928e-11, 3.375e-12, 2019ApJ...875..123Y
2.826e+01, 1.073e-10, 4.108e-12, 2019ApJ...875..123Y
5.675e+01, 9.832e-11, 5.760e-12, 2019ApJ...875..123Y
1.091e+02, 1.126e-10, 8.712e-12, 2019ApJ...875..123Y
2.008e+02, 1.052e-10, 1.166e-11, 2019ApJ...875..123Y
3.697e+02, 8.026e-11, 1.500e-11, 2019ApJ...875..123Y
6.707e+02, 6.489e-11, 1.902e-11, 2019ApJ...875..123Y
3.650e+02, 4.205e-11, 2.497e-11, 2004ApJ...614..897A
4.870e+02, 6.687e-11, 9.119e-12, 2004ApJ...614..897A
6.490e+02, 5.924e-11, 3.576e-12, 2004ApJ...614..897A
8.660e+02, 4.830e-11, 1.562e-12, 2004ApJ...614..897A
1.155e+03, 3.996e-11, 1.923e-12, 2004ApJ...614..897A
1.540e+03, 3.438e-11, 9.878e-13, 2004ApJ...614..897A
2.054e+03, 3.048e-11, 8.110e-13, 2004ApJ...614..897A
2.738e+03, 2.594e-11, 8.407e-13, 2004ApJ...614..897A
3.652e+03, 1.993e-11, 7.692e-13, 2004ApJ...614..897A
4.870e+03, 1.588e-11, 7.599e-13, 2004ApJ...614..897A
6.494e+03, 1.304e-11, 8.107e-13, 2004ApJ...614..897A
8.660e+03, 1.225e-11, 8.410e-13, 2004ApJ...614..897A
1.334e+04, 9.344e-12, 8.831e-13, 2004ApJ...614..897A
2.371e+04, 4.757e-12, 6.306e-13, 2004ApJ...614..897A
4.217e+04, 3.134e-12, 7.122e-13, 2004ApJ...614..897A
7.499e+04, 1.847e-12, 9.099e-13, 2004ApJ...614..897A
5.190e+02, 7.810e-11, 2.589e-12, 2006A&A...457..899A
7.290e+02, 6.189e-11, 1.660e-12, 2006A&A...457..899A
1.060e+03, 5.616e-11, 1.620e-12, 2006A&A...457..899A
1.550e+03, 4.696e-11, 1.540e-12, 2006A&A...457..899A
2.260e+03, 3.764e-11, 1.473e-12, 2006A&A...457..899A
3.300e+03, 2.669e-11, 1.396e-12, 2006A&A...457..899A
4.890e+03, 2.433e-11, 1.475e-12, 2006A&A...457..899A
7.180e+03, 1.875e-11, 1.445e-12, 2006A&A...457..899A
1.040e+04, 1.125e-11, 1.291e-12, 2006A&A...457..899A
1.480e+04, 6.141e-12, 1.105e-12, 2006A&A...457..899A
2.090e+04, 5.080e-12, 1.120e-12, 2006A&A...457..899A
5.164e+01, 8.918e-11, 3.277e-12, 2015JHEAp...5...30A
8.073e+01, 8.261e-11, 2.136e-12, 2015JHEAp...5...30A
1.262e+02, 7.976e-11, 1.338e-12, 2015JHEAp...5...30A
1.973e+02, 7.245e-11, 1.082e-12, 2015JHEAp...5...30A
3.085e+02, 6.734e-11, 9.776e-13, 2015JHEAp...5...30A
