wlmu,fnu,fnuunc, reference
  1,   3.6, 12.6,  0.2,2019MRAS.488..164D
  2,   4.5, 14.4,  0.3,2019MRAS.488..164D
  3,   5.8, 15.3,  2.2,2019MRAS.488..164D
  4,   8.0, 19.7,  2.0,2019MRAS.488..164D
  5,   3.4, 11.2,  0.3,2019MRAS.488..164D
  6,   4.6, 14.1,  0.4,2019MRAS.488..164D
  7,  12.0, 32.2,  1.4,2019MRAS.488..164D
  8,  22.0, 62.0,  3.7,2019MRAS.488..164D
  9,  24.0, 58.7,  2.9,2019MRAS.488..164D
 10,  70.0,220.9, 19.5,2019MRAS.488..164D
 11,  70.0,183.9, 18.6,2019MRAS.488..164D
 12, 100.0,208.2, 18.5,2019MRAS.488..164D
 13, 160.0,166.7, 14.0,2019MRAS.488..164D
 14, 250.0,110.7,  6.7,2019MRAS.488..164D
 15, 350.0,106.3,  6.0,2019MRAS.488..164D
 16, 500.0,107.0,  6.0,2019MRAS.488..164D
 17,2000.0,242.6, 24.3,2019MRAS.488..164D
 18,6.24e4,599.3,125.7,2019MRAS.488..164D
 19,2.14e5,833.8,174.9,2019MRAS.488..164D
