frequency,flux,fluxunc,epoch,reference
  1,   1.117,990.0,59.40,1969.9,1971Radi...14..157V
  2,   1.304,980.0,58.80,1969.9,1971Radi...14..157V
  3,   1.400,930.0,46.50,1963.0,1969ApJ...157....1K
  4,   1.765,940.0,56.40,1969.9,1971Radi...14..157V
  5,   2.000,840.0,50.40,1969.3,1970Radi...13..823D
  6,   2.290,810.0,48.60,1969.3,1970Radi...13..823D
  7,   2.740,795.0,47.70,1969.3,1970Radi...13..823D
  8,   3.150,700.0,24.50,1964.4,1972ApJ...171...41M
  9,   3.380,718.0,43.10,1969.3,1970Radi...13..823D
 10,   3.960,646.0,38.80,1969.3,1970Radi...13..823D
 11,   4.080,687.0,20.60,1964.8,1965ApJ...142.1149P
 12,   5.000,680.0,34.00,1963.0,1969ApJ...157....1K
 13,   6.660,577.2,20.20,1965.0,1972ApJ...171...41M
 14,   8.250,563.0,22.50,1965.9,1967ApJ...149....1A
 15,  13.490,524.0,19.90,1969.9,1972ApJ...171...41M
 16,  15.500,461.0,24.00,1965.9,1967ApJ...149....1A
 17,  16.000,447.0,15.60,1970.6,1972ApJ...174..399W
 18,  22.285,397.0,16.00,1973.1,1974A&A....33..373J
 19,  22.500,395.0, 7.00,2003.0,2010ApJ...711..417M
 20,  31.410,387.0,72.00,1966.7,1968ApJ...152...43H
 21,  32.800,340.0, 5.00,2003.0,2010ApJ...711..417M
 22,  34.900,340.0,68.00,1967.3,1967AJ.....72.1051K
 23,  40.400,323.0, 8.00,2003.0,2010ApJ...711..417M
 24,  60.200,294.0,10.00,2003.0,2010ApJ...711..417M
 25,  92.900,285.0,16.00,2003.0,2010ApJ...711..417M
 26, 111.100,290.0,35.00,1973.5,1976SvA....19..405Z
 27, 143.000,231.0,32.00,2002.0,2010ApJ...711..417M
 28, 217.000,182.0,38.00,2002.0,2010ApJ...711..417M
 29, 230.000,260.0,52.00,2000.0,2002A&A...386.1044C
 30, 250.000,204.0,32.00,1985.3,1986A&A...167..145M
 31, 300.000,194.0,19.40,1983.0,1984A&A...137..117C
 32, 300.000,131.0,42.00,1978.8,1979Natur.279..703W
 33, 300.000,300.0,80.00,1976.0,1977PASP...89..127W
 34, 347.000,190.0,19.00,1999.8,2004MNRAS.355.1315G
 35, 353.000,186.0,34.00,2002.0,2010ApJ...711..417M
 36, 545.000,237.0,68.00,2002.0,2010ApJ...711..417M
 37, 750.000,158.0,63.00,1978.8,1979Natur.279..703W
 38,1000.000,135.0,41.00,1978.8,1979Natur.279..703W
# 39,3000.000,184.0,13.00,1983.5,1992Natur.358..654S
# 40,5000.000,210.0, 8.00,1983.5,1992Natur.358..654S
# 41,  12.0e3, 67.0, 4.00,1983.5,1992Natur.358..654S
# 42,  25.0e3, 37.0, 1.00,1983.5,1992Natur.358..654S
 43,  22.700,383.8, 9.60,2005.0,2011ApJS..192...19W
 44,  32.960,342.8, 6.40,2005.0,2011ApJS..192...19W
 45,  40.640,317.7, 8.60,2005.0,2011ApJS..192...19W
 46,  60.530,276.0, 5.20,2005.0,2011ApJS..192...19W
 47,  92.950,232.8, 9.70,2005.0,2011ApJS..192...19W
 48,  89.000,195.0,11.00,2008.5,2010A&A...514A..70A
 49, 100.000,229.2, 1.15,2011.7,2018A&A...616A..35R
 50, 143.000,193.2, 2.67,2011.7,2018A&A...616A..35R
 51, 217.000,172.7, 1.60,2011.7,2018A&A...616A..35R
 52, 353.000,144.8, 1.75,2011.7,2018A&A...616A..35R
