Index,EkeV,fluxkeVpercgs,uncertainty,Reference
0,   0.300,  11.499,   1.510,2005SPIE.5898...22K
1,   0.330,  11.370,   1.185,2005SPIE.5898...22K
2,   0.363,  11.243,   0.927,2005SPIE.5898...22K
3,   0.399,  11.117,   0.725,2005SPIE.5898...22K
4,   0.439,  10.993,   0.565,2005SPIE.5898...22K
5,   0.483,  10.870,   0.440,2005SPIE.5898...22K
6,   0.531,  10.749,   0.341,2005SPIE.5898...22K
7,   0.585,  10.628,   0.264,2005SPIE.5898...22K
8,   0.643,  10.509,   0.204,2005SPIE.5898...22K
9,   0.707,  10.392,   0.157,2005SPIE.5898...22K
10,   0.778,  10.276,   0.120,2005SPIE.5898...22K
11,   0.856,  10.161,   0.091,2005SPIE.5898...22K
12,   0.942,  10.047,   0.069,2005SPIE.5898...22K
13,   1.036,   9.935,   0.056,2005SPIE.5898...22K
14,   1.139,   9.824,   0.049,2005SPIE.5898...22K
15,   1.253,   9.714,   0.043,2005SPIE.5898...22K
16,   1.378,   9.605,   0.038,2005SPIE.5898...22K
17,   1.516,   9.498,   0.033,2005SPIE.5898...22K
18,   1.668,   9.392,   0.028,2005SPIE.5898...22K
19,   1.835,   9.287,   0.024,2005SPIE.5898...22K
20,   2.018,   9.183,   0.021,2005SPIE.5898...22K
21,   2.220,   9.080,   0.018,2005SPIE.5898...22K
22,   2.442,   8.978,   0.015,2005SPIE.5898...22K
23,   2.686,   8.878,   0.013,2005SPIE.5898...22K
24,   2.955,   8.779,   0.011,2005SPIE.5898...22K
25,   3.250,   8.681,   0.010,2005SPIE.5898...22K
26,   3.575,   8.583,   0.008,2005SPIE.5898...22K
27,   3.933,   8.487,   0.007,2005SPIE.5898...22K
28,   4.326,   8.393,   0.006,2005SPIE.5898...22K
29,   4.759,   8.299,   0.005,2005SPIE.5898...22K
30,   5.235,   8.206,   0.004,2005SPIE.5898...22K
31,   5.758,   8.114,   0.004,2005SPIE.5898...22K
32,   6.334,   8.023,   0.003,2005SPIE.5898...22K
33,   6.968,   7.934,   0.003,2005SPIE.5898...22K
34,   7.664,   7.845,   0.002,2005SPIE.5898...22K
35,   8.431,   7.757,   0.002,2005SPIE.5898...22K
